video_id,type,author,text,likes,published
qYDLUDQEv0g,comment,@Moussoucrondiaye1929,Et puis il à parfaitement raison.,1,05/12/2025 19:48;;;;;
qYDLUDQEv0g,comment,@awadiaw6076,Ce gars est un don du ciel,2,05/12/2025 16:07;;;;;
qYDLUDQEv0g,comment,@IbissDI,Pourtant il a raison…,1,05/12/2025 14:37;;;;;
qYDLUDQEv0g,comment,@MamadouDiallo-r7y,Yaw domaram,0,05/12/2025 12:31;;;;;
qYDLUDQEv0g,comment,@MoussaKonate-v9w,Fout,0,05/12/2025 09:34;;;;;
qYDLUDQEv0g,comment,@jpgomis3935,Blaise Compaoré a payé libéré toute les machine de l'époque de Senghor pour prépare son candidature pour les élections 2029,0,05/12/2025 03:47;;;;;
qYDLUDQEv0g,comment,@babadiabate6521,Sa data yaye saye bo Yéwo yaw Abdou Guer,0,04/12/2025 19:40;;;;;
qYDLUDQEv0g,reply,@IbissDI,iow sa Yaye amoul datta ap leuf la la yore…,1,05/12/2025 14:38;;;;;
qYDLUDQEv0g,comment,@amadoualymbaye6084,Mais abdou mi amna diom ki moy domeram,1,04/12/2025 17:54;;;;;
Tu va bientÃ´t retourner dans le pÃ©trin ;;;;;,,,None,,
qYDLUDQEv0g,comment,@NiangBamba,Doff Buy wah,1,04/12/2025 16:39;;;;;
qYDLUDQEv0g,comment,@babndiaye3975,Abdou amul billaye 😂,4,04/12/2025 15:57;;;;;
qYDLUDQEv0g,comment,@papamomarndione,😂😂😂😂😂😂😂😂,4,04/12/2025 10:34;;;;;
qYDLUDQEv0g,comment,@ayoubadiallo7033,Abdou jerejefe ❤❤❤,5,04/12/2025 10:27;;;;;
6kWsG7pRgxo,comment,@YeumeuNdiaye,Elle veut forcément faire de l'influence ta elle maîtrise rien,0,04/12/2025 20:04;;;;;
6kWsG7pRgxo,comment,@YeumeuNdiaye,Awoush mome doul rek laye def,0,04/12/2025 20:03;;;;;
6kWsG7pRgxo,comment,@nabouthior6800,Yalla nala Yalla tagalé ak sangara,4,04/12/2025 19:07;;;;;
6kWsG7pRgxo,comment,@prenombadiane6369,C vrai ami stop faut pas repondre,0,04/12/2025 14:53;;;;;
6kWsG7pRgxo,comment,@dianablackqueen3510,😂😂😂😂,0,04/12/2025 09:56;;;;;
6kWsG7pRgxo,comment,@AliouCissee,Amal diam fomounanek gudou fan ak wére,3,03/12/2025 17:05;;;;;
